Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_folder_updated_link_graph_1,Range_5-35,240,0.8614449378822383,0.28439254188109286,0.0035893539078426595,0.0011849689245045536,2.5010887572901845,445.462,1114.14,281.398
240_folder_updated_link_graph_2,Range_5-35,240,0.4524384987725041,0.2834892519610755,0.0018851604115521004,0.0011812052165044813,2.536185958077414,429.172,1088.46,323.368
