Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_low_updated_link_graph_2,239,1,1.7130245070057122,940,388,513,1841,0.007167466556509256
240_low_updated_link_graph_2,239,2,2.2519847202934815,1162,217,462,1841,0.009422530210432977
240_low_updated_link_graph_2,239,3,1.5710672637063507,518,968,355,1841,0.006573503195424062
240_low_updated_link_graph_2,239,4,2.7821918876172638,1124,285,432,1841,0.011640970241076418
240_low_updated_link_graph_2,239,5,1.6202042495743108,591,561,689,1841,0.006779097278553602
240_low_updated_link_graph_2,239,6,0.9200791178374149,461,995,385,1841,0.00384970342191387
240_low_updated_link_graph_2,239,7,2.411175287578213,940,380,521,1841,0.010088599529615954
240_low_updated_link_graph_2,239,8,1.6608811403349404,849,401,591,1841,0.006949293474204771
240_low_updated_link_graph_2,239,9,2.2538397922555866,1050,280,511,1841,0.009430292017805802
240_low_updated_link_graph_2,239,10,1.2153507434350597,535,615,691,1841,0.005085149554121589
240_low_updated_link_graph_2,239,11,0.9768755292691557,571,588,682,1841,0.004087345310749605
240_low_updated_link_graph_2,239,12,3.208219790265112,1305,189,347,1841,0.013423513766799632
240_low_updated_link_graph_2,239,13,2.239005460954529,1034,349,458,1841,0.009368223686002214
240_low_updated_link_graph_2,239,14,2.4895368474826256,861,454,526,1841,0.01041647216519927
240_low_updated_link_graph_2,239,15,2.2520481193538666,581,808,452,1841,0.009422795478468061
240_low_updated_link_graph_2,239,16,1.563269417306997,492,809,540,1841,0.006540876223041828
240_low_updated_link_graph_2,239,17,1.8505197073577326,1073,247,521,1841,0.007742760281831517
240_low_updated_link_graph_2,239,18,2.296670008702935,909,389,543,1841,0.009609497944363745
240_low_updated_link_graph_2,239,19,1.6661955041478311,924,422,495,1841,0.006971529306057871
240_low_updated_link_graph_2,239,20,1.4010541616025032,862,470,509,1841,0.005862151303776164
240_low_updated_link_graph_2,239,21,1.3912425244124575,699,615,527,1841,0.005821098428504007
240_low_updated_link_graph_2,239,22,1.6273319669703457,525,938,378,1841,0.0068089203638926595
240_low_updated_link_graph_2,239,23,2.9690590799765184,1296,208,337,1841,0.012422841338813885
240_low_updated_link_graph_2,239,24,2.2629287679452887,1001,333,507,1841,0.009468321204792003
240_low_updated_link_graph_2,239,25,1.6808572166263553,880,394,567,1841,0.007032875383373872
240_low_updated_link_graph_2,239,26,1.9651831839560425,738,533,570,1841,0.008222523782242856
240_low_updated_link_graph_2,239,27,2.7786728635075546,1110,334,397,1841,0.011626246290826588
240_low_updated_link_graph_2,239,28,1.8107470432427375,872,380,589,1841,0.007576347461266684
240_low_updated_link_graph_2,239,29,1.5614476214897646,736,591,514,1841,0.006533253646400688
240_low_updated_link_graph_2,239,30,1.0528432382583566,550,905,386,1841,0.004405201833716973
240_low_updated_link_graph_2,239,31,1.6944964451271896,1030,289,522,1841,0.007089943285051002
240_low_updated_link_graph_2,239,32,2.4834091324322136,839,470,532,1841,0.010390833190092943
240_low_updated_link_graph_2,239,33,1.4149771087328424,947,360,534,1841,0.0059204063126897175
240_low_updated_link_graph_2,239,34,1.5098612600661088,909,388,544,1841,0.0063174111299837184
240_low_updated_link_graph_2,239,35,2.2431129137264554,1129,207,505,1841,0.00938540968086383
240_low_updated_link_graph_2,239,36,1.9162147038489215,495,1009,337,1841,0.008017634744137747
240_low_updated_link_graph_2,239,37,1.1965067711257982,477,700,664,1841,0.0050063044816979
240_low_updated_link_graph_2,239,38,3.197098046905387,1159,303,379,1841,0.013376979275754758
240_low_updated_link_graph_2,239,39,2.564776858014133,1173,224,444,1841,0.010731283924745325
240_low_updated_link_graph_2,239,40,2.348233582021538,834,462,545,1841,0.00982524511306083
240_low_updated_link_graph_2,239,41,2.1990542707241105,906,371,564,1841,0.00920106389424314
240_low_updated_link_graph_2,239,42,1.0748610317336158,529,794,518,1841,0.004497326492609271
240_low_updated_link_graph_2,239,43,1.1214996914742104,515,728,598,1841,0.004692467328343977
240_low_updated_link_graph_2,239,44,2.480173812066003,901,388,552,1841,0.010377296284794993
240_low_updated_link_graph_2,239,45,1.4306074234466646,485,1037,319,1841,0.005985805119023701
240_low_updated_link_graph_2,239,46,2.6001916317550036,825,432,584,1841,0.0108794628943724
240_low_updated_link_graph_2,239,47,1.1173686812353545,501,930,410,1841,0.0046751827666751235
240_low_updated_link_graph_2,239,48,0.32480519558175275,421,1144,276,1841,0.0013590175547353671
240_low_updated_link_graph_2,239,49,0.45063660032216935,533,864,444,1841,0.0018855087879588676
240_low_updated_link_graph_2,239,50,2.4958245039506455,840,516,485,1841,0.010442780351257931
240_low_updated_link_graph_2,239,51,1.5138827324201565,699,653,489,1841,0.006334237374142914
