Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_low_updated_link_graph_6,Range_65-95,240,2.5258394427750335,0.6806680978531584,0.01052433101156264,0.00283611707438816,0.8317970041581082,798.44,664.14,378.42
240_low_updated_link_graph_1,Range_65-95,240,2.475112881719553,0.6807477504395639,0.010312970340498138,0.0028364489601648496,0.7468754868009538,834.53,623.29,383.18
240_low_updated_link_graph_3,Range_65-95,240,2.4729715853746295,0.6815887299634781,0.010304048272394289,0.002839953041514492,0.7860575453355997,817.79,642.83,380.38
240_low_updated_link_graph_10,Range_65-95,240,2.4642683227037296,0.6816786202690587,0.010267784677932207,0.002840327584454411,0.7717342574305412,825.31,636.92,378.77
240_low_updated_link_graph_4,Range_65-95,240,2.4592111341508613,0.6809435460709838,0.010246713058961921,0.002837264775295766,0.7172159701474912,846.83,607.36,386.81
240_low_updated_link_graph_8,Range_65-95,240,2.450877347598187,0.6814962466072387,0.010211988948325779,0.002839567694196828,0.7047390029325513,852.5,600.79,387.71
240_low_updated_link_graph_2,Range_65-95,239,2.4394148833649756,0.6811083035772986,0.010206756834163078,0.0028498255379803285,0.7620964340375276,829.79,632.38,378.83
240_low_updated_link_graph_5,Range_65-95,240,2.4180143687912095,0.6807623416156862,0.010075059869963373,0.0028365097567320256,0.767699626479785,821.91,630.98,388.11
240_low_updated_link_graph_9,Range_65-95,240,2.4120991539129433,0.6821834732442049,0.01005041314130393,0.0028424311385175207,0.7533351811904218,829.79,625.11,386.1
240_low_updated_link_graph_7,Range_65-95,240,2.4101037638246763,0.6789176850206433,0.01004209901593615,0.002828823687586014,0.7432679988984542,835.19,620.77,385.04
