Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_random_updated_link_graph_6,Range_35-65,237,1.890221419437278,0.6349425334843568,0.007975617803532817,0.0026790824197652184,0.35445281346920693,1060.79,376.0,404.21
240_random_updated_link_graph_4,Range_35-65,235,1.8523333058207792,0.6363526470513629,0.0078822693864714,0.0027078836044738845,0.37267116682738666,1037.0,386.46,417.54
240_random_updated_link_graph_8,Range_35-65,235,1.8406905558385227,0.634804841101235,0.007832725769525628,0.0027012971961754683,0.31485123274700466,1098.36,345.82,396.82
240_random_updated_link_graph_10,Range_35-65,235,1.8287791786894494,0.6342630196854117,0.007782039058252976,0.002698991573129411,0.37612932989888886,1040.44,391.34,409.22
240_random_updated_link_graph_2,Range_35-65,236,1.834150532389306,0.6365745200192423,0.007771824289785194,0.0026973496610984845,0.3549853081509056,1058.41,375.72,406.87
240_random_updated_link_graph_1,Range_35-65,238,1.8471756491209987,0.6358753513155757,0.007761242223197473,0.002671745173594856,0.36770258773145714,1046.09,384.65,410.26
240_random_updated_link_graph_3,Range_35-65,240,1.8293609825432704,0.6363571273310662,0.007622337427263626,0.002651488030546109,0.3471838350638679,1070.96,371.82,398.22
240_random_updated_link_graph_9,Range_35-65,240,1.8025482241532667,0.6357126332374193,0.007510617600638611,0.002648802638489247,0.34069388859347155,1071.93,365.2,403.87
240_random_updated_link_graph_7,Range_35-65,238,1.7874685166462738,0.6353376607386084,0.0075103719186818225,0.0026694859694899515,0.36735336494880777,1048.01,384.99,408.0
240_random_updated_link_graph_5,Range_35-65,236,1.7347533697890716,0.635895513533577,0.007350649871987591,0.002694472514972784,0.4042105263157895,1007.0,407.04,426.96
