Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_high_updated_link_graph_6,Range_35-65,240,1.9424720103644995,0.6375768035128548,0.008093633376518748,0.002656570014636895,0.6742880716053703,799.94,539.39,501.67
240_high_updated_link_graph_8,Range_35-65,240,1.9352587853042507,0.6377424398203839,0.008063578272101045,0.0026572601659182664,0.6767795950644557,796.67,539.17,505.16
240_high_updated_link_graph_5,Range_35-65,240,1.9342649496670932,0.6377999006646234,0.008059437290279555,0.0026574995861025977,0.6772692495829623,797.29,539.98,503.73
240_high_updated_link_graph_10,Range_35-65,240,1.932875003211332,0.6379110706436469,0.008053645846713883,0.002657962794348529,0.6308480517729541,815.87,514.69,510.44
240_high_updated_link_graph_4,Range_35-65,240,1.9311231894629262,0.6376818983255853,0.008046346622762192,0.0026570079096899387,0.648130133359603,812.09,526.34,502.57
240_high_updated_link_graph_9,Range_35-65,240,1.9247441632729199,0.6375976756045276,0.0080197673469705,0.0026566569816855318,0.6232984007091767,823.49,513.28,504.23
240_high_updated_link_graph_3,Range_35-65,240,1.920778751660312,0.6374039760455598,0.008003244798584634,0.0026558499001898325,0.6149813550292992,825.96,507.95,507.09
240_high_updated_link_graph_7,Range_35-65,240,1.8994243595302747,0.6387990181098272,0.007914268164709477,0.0026616625754576134,0.7035194958047003,790.17,555.9,494.93
240_high_updated_link_graph_1,Range_35-65,240,1.8969750277253306,0.6379294283725193,0.007904062615522211,0.002658039284885497,0.6971413399415878,790.93,551.39,498.68
240_high_updated_link_graph_2,Range_35-65,240,1.8844514672499795,0.6375445260260274,0.00785188111354158,0.0026564355251084476,0.6742286071205497,800.5,539.72,500.78
