Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_low_updated_link_graph_6,Range_35-65,240,2.0093632963995525,0.6365189572516595,0.00837234706833147,0.002652162321881915,0.7861777853519133,762.83,599.72,478.45
240_low_updated_link_graph_1,Range_35-65,240,1.9591736057226325,0.6369407972679083,0.008163223357177635,0.0026539199886162846,0.6605550718061296,815.39,538.61,487.0
240_low_updated_link_graph_3,Range_35-65,240,1.9571100828945924,0.6373226368685027,0.008154625345394136,0.0026555109869520945,0.7153554262585378,790.6,565.56,484.84
240_low_updated_link_graph_10,Range_35-65,240,1.9488767274813452,0.6372766633115697,0.008120319697838939,0.002655319430464874,0.6950544656878629,802.34,557.67,480.99
240_low_updated_link_graph_4,Range_35-65,240,1.943817293802753,0.6369577451335591,0.008099238724178138,0.0026539906047231628,0.628842491019119,829.54,521.65,489.81
240_low_updated_link_graph_8,Range_35-65,240,1.9355056984822125,0.6372297013587073,0.008064607077009218,0.00265512375566128,0.6199012014100381,834.02,517.01,489.97
240_low_updated_link_graph_2,Range_35-65,239,1.9249703429801877,0.6371185121881598,0.008054269217490325,0.002665767833423263,0.6879182156133828,807.0,555.15,478.85
240_low_updated_link_graph_5,Range_35-65,240,1.9035323793556815,0.6367085094732529,0.007931384913982006,0.00265295212280522,0.689084895259096,798.16,550.0,492.84
240_low_updated_link_graph_7,Range_35-65,240,1.8969326830068485,0.6377044109808447,0.007903886179195203,0.0026571017124201865,0.6625050688752627,813.79,539.14,488.07
240_low_updated_link_graph_9,Range_35-65,240,1.8968683314179993,0.636861096509145,0.007903618047574997,0.0026535879021214377,0.6779328499056323,805.36,545.98,489.66
