Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_mixed_updated_link_graph_7,Range_65-95,237,2.5154530243388744,0.681667337055407,0.010613725841092297,0.0028762334896852617,0.8135974953284907,808.09,657.46,375.45
240_mixed_updated_link_graph_8,Range_65-95,239,2.528478616700605,0.6803010717518327,0.010579408438077845,0.0028464479989616432,0.820969337289812,798.69,655.7,386.61
240_mixed_updated_link_graph_2,Range_65-95,237,2.506534840214047,0.6818451514680176,0.010576096372211168,0.0028769837614684287,0.8124093293159246,806.49,655.2,379.31
240_mixed_updated_link_graph_10,Range_65-95,237,2.496922197189735,0.6800295827024978,0.010535536697003101,0.0028693231337658135,0.8503403088175538,787.52,669.66,383.82
240_mixed_updated_link_graph_9,Range_65-95,240,2.5189918656857904,0.6803604492290161,0.01049579944035746,0.0028348352051209003,0.8771772426079489,780.23,684.4,376.37
240_mixed_updated_link_graph_5,Range_65-95,238,2.4966932141698717,0.6804713585579266,0.010490307622562487,0.002859123355285406,0.7740189773582158,824.14,637.9,378.96
240_mixed_updated_link_graph_4,Range_65-95,239,2.4910866524149933,0.680878487119233,0.010422956704665243,0.0028488639628419794,0.7768343343038483,820.87,637.68,382.45
240_mixed_updated_link_graph_1,Range_65-95,239,2.489341231333382,0.6815381588030033,0.010415653687587371,0.0028516240954100554,0.7967472657550462,811.01,646.17,383.82
240_mixed_updated_link_graph_6,Range_65-95,239,2.477177961449963,0.6814871125015912,0.010364761344978924,0.0028514105125589592,0.8041193726868757,807.89,649.64,383.47
240_mixed_updated_link_graph_3,Range_65-95,239,2.450491288349097,0.6796568302541676,0.01025310162489162,0.0028437524278417054,0.7674382063213876,827.35,634.94,378.71
