Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_high_updated_link_graph_6,Range_65-95,240,2.4570411411839377,0.6820217557828206,0.01023767142159974,0.0028417573157617526,0.7554645966794629,825.77,623.84,391.39
240_high_updated_link_graph_8,Range_65-95,240,2.4497842937222067,0.6822147958333138,0.01020743455717586,0.002842561649305474,0.7565634486945962,823.5,623.03,394.47
240_high_updated_link_graph_5,Range_65-95,240,2.4488834677839737,0.6823660409003466,0.010203681115766557,0.0028431918370847775,0.7530895609188718,825.36,621.57,394.07
240_high_updated_link_graph_10,Range_65-95,240,2.4476345805394497,0.68241916132605,0.010198477418914375,0.002843413172191875,0.719676549865229,838.46,603.42,399.12
240_high_updated_link_graph_4,Range_65-95,240,2.4458719029415836,0.6822657502360937,0.010191132928923265,0.002842773959317057,0.7323627148628941,836.58,612.68,391.74
240_high_updated_link_graph_9,Range_65-95,240,2.439498548005381,0.6822581951599779,0.010164577283355755,0.002842742479833241,0.7115587042140247,845.51,601.63,393.86
240_high_updated_link_graph_3,Range_65-95,240,2.435410857705161,0.6817556584175878,0.010147545240438172,0.002840648576739949,0.7049354450397716,847.34,597.32,396.34
240_high_updated_link_graph_7,Range_65-95,240,2.4149633128623065,0.684487910820837,0.010062347136926277,0.0028520329617534876,0.7775206044797138,816.57,634.9,389.53
240_high_updated_link_graph_1,Range_65-95,240,2.4112710460423052,0.6816385645602626,0.010046962691842938,0.002840160685667761,0.7703944474314482,818.36,630.46,392.18
240_high_updated_link_graph_2,Range_65-95,240,2.398656501972983,0.6817455923522208,0.009994402091554095,0.00284060663480092,0.7537016186636641,825.99,622.55,392.46
