Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_random_updated_link_graph_6,Range_65-95,65,95,237,2.3351534584626155,0.6876956712305863,0.009852968179167153,0.0029016694988632332,0.4120717873469157,1063.14,438.09,339.77,1841,7.457581496238708
240_random_updated_link_graph_4,Range_65-95,65,95,235,2.295265210739062,0.6887112097393772,0.009767086003144944,0.0029306859988909666,0.4334263446550563,1039.3,450.46,351.24,1841,8.034850700696309
240_random_updated_link_graph_8,Range_65-95,65,95,235,2.286892281385666,0.6896989587946293,0.009731456516534748,0.002934889186360125,0.3677741675641919,1104.89,406.35,329.76,1841,8.016734572251638
240_random_updated_link_graph_10,Range_65-95,65,95,235,2.275384903316703,0.6852127347911199,0.009682488950283842,0.002915798871451574,0.43218234945856643,1047.22,452.59,341.19,1841,8.043417688210805
240_random_updated_link_graph_2,Range_65-95,65,95,236,2.276758620152071,0.6885580112710707,0.009647282288779962,0.002917618691826571,0.41698651427704964,1055.19,440.0,345.81,1841,7.373612411816915
240_random_updated_link_graph_1,Range_65-95,65,95,238,2.292284470734061,0.6899065419966698,0.009631447356025467,0.0028987669831792846,0.42525043970329585,1046.16,444.88,349.96,1841,8.199910068511963
240_random_updated_link_graph_3,Range_65-95,65,95,240,2.275769657002989,0.6896146081783191,0.009482373570845786,0.002873394200742996,0.4090662678755024,1069.9,437.66,333.44,1841,7.761636372407278
240_random_updated_link_graph_7,Range_65-95,65,95,238,2.2320324678832035,0.6874266832578769,0.009378287680181528,0.002888347408646542,0.42581386733036314,1052.69,448.25,340.06,1841,8.002347226937612
240_random_updated_link_graph_9,Range_65-95,65,95,240,2.2473509321008045,0.6879025541631328,0.009363962217086685,0.002866260642346387,0.3985736851452018,1069.89,426.43,344.68,1841,7.641257496674855
240_random_updated_link_graph_5,Range_65-95,65,95,236,2.1777237539470677,0.6892629025952208,0.00922764302519944,0.0029206055194712748,0.46225765857878803,1017.16,470.19,353.65,1841,7.58138910929362
