Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_high_updated_link_graph_6,Range_65-95,65,95,240,2.384823673417327,0.6910647655470724,0.00993676530590553,0.0028794365231128017,0.6393561201878365,870.97,556.86,413.17,1841,11.320441897710165
240_high_updated_link_graph_8,Range_65-95,65,95,240,2.377763486603067,0.6910995686017818,0.009907347860846112,0.0028795815358407576,0.6386660989839246,869.03,555.02,416.95,1841,11.189046561717987
240_high_updated_link_graph_5,Range_65-95,65,95,240,2.3765545849794263,0.6909251408876783,0.009902310770747609,0.0028788547536986596,0.6381354275661443,869.69,554.98,416.33,1841,11.366808370749157
240_high_updated_link_graph_10,Range_65-95,65,95,240,2.3752220964785367,0.6909317627891336,0.009896758735327237,0.0028788823449547233,0.6031966408181233,885.93,534.39,420.68,1841,11.60068336725235
240_high_updated_link_graph_4,Range_65-95,65,95,240,2.373378847996327,0.6908232399808464,0.00988907853331803,0.0028784301665868597,0.6160317963583658,883.12,544.03,413.85,1841,11.482926416397095
240_high_updated_link_graph_9,Range_65-95,65,95,240,2.367112759650341,0.69044284936149,0.009862969831876421,0.0028768452056728753,0.5964853369151556,893.4,532.9,414.7,1841,11.497188937664031
240_high_updated_link_graph_3,Range_65-95,65,95,240,2.363544644516962,0.6909620354394451,0.009848102685487341,0.002879008480997688,0.5902210314802412,895.8,528.72,416.48,1841,11.510125358899435
240_high_updated_link_graph_7,Range_65-95,65,95,240,2.3457679339154054,0.6905651155459359,0.009774033057980856,0.0028773546481080663,0.6587110785919189,861.03,567.17,412.8,1841,11.334838513533274
240_high_updated_link_graph_1,Range_65-95,65,95,240,2.337943913368255,0.6926515484592997,0.00974143297236773,0.0028860481185804155,0.6535004401612379,863.32,564.18,413.5,1841,11.442145609855652
240_high_updated_link_graph_2,Range_65-95,65,95,240,2.3268987301559974,0.6907898378555203,0.00969541137564999,0.0028782909910646678,0.6350543789353177,873.5,554.72,412.78,1841,12.669920750459035
