Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_mixed_updated_link_graph_7,Range_65-95,65,95,237,2.4529346003458397,0.6903517109425821,0.010349935022556286,0.002912876417479249,0.6838424990952919,856.63,585.8,398.57,1841,8.57543564637502
240_mixed_updated_link_graph_8,Range_65-95,65,95,239,2.4686384569748316,0.6906951943867786,0.010329031200731514,0.0028899380518275257,0.6886743338539448,845.16,582.04,413.8,1841,8.585950513680777
240_mixed_updated_link_graph_2,Range_65-95,65,95,237,2.4428999938837324,0.690411559018641,0.010307594910901824,0.0029131289410069244,0.682284589795249,853.72,582.48,404.8,1841,8.661330501238504
240_mixed_updated_link_graph_10,Range_65-95,65,95,237,2.433598422340809,0.6901033301498001,0.010268347773589911,0.0029118283972565406,0.7224377995891349,832.39,601.35,407.26,1841,8.657695519924165
240_mixed_updated_link_graph_9,Range_65-95,65,95,240,2.4567965292684573,0.691836466593651,0.010236652205285239,0.002882651944140212,0.7467249969619638,822.9,614.48,403.62,1841,8.600196242332458
240_mixed_updated_link_graph_5,Range_65-95,65,95,238,2.430878323938925,0.6902873150957645,0.010213774470331618,0.002900366870150271,0.6474146721508691,872.81,565.07,403.12,1841,8.67764858007431
240_mixed_updated_link_graph_4,Range_65-95,65,95,239,2.425523866320076,0.6905962800739727,0.010148635423933374,0.0028895241844099275,0.6482531447984574,871.28,564.81,404.91,1841,8.790306162834167
240_mixed_updated_link_graph_1,Range_65-95,65,95,239,2.4228395330366284,0.6910813088262471,0.010137403903918946,0.00289155359341526,0.664313543059836,859.85,571.21,409.94,1841,8.59452793598175
240_mixed_updated_link_graph_6,Range_65-95,65,95,239,2.4111898587314062,0.6900567406971263,0.010088660496784127,0.0028872666974775157,0.6776119402985075,854.25,578.85,407.9,1841,8.729731039206188
240_mixed_updated_link_graph_3,Range_65-95,65,95,239,2.385719602444208,0.6908527022137049,0.00998209038679585,0.0028905970803920706,0.6389888818007836,877.84,560.93,402.23,1841,8.715355908870697
