Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_high_updated_link_graph_6,Range_5-35,5,35,240,1.3452130329082272,0.5947353602047728,0.00560505430378428,0.00247806400085322,0.5459039820787146,776.73,424.02,640.25,1841,8.135878145694733
240_high_updated_link_graph_8,Range_5-35,5,35,240,1.3385708428205119,0.5947581188306837,0.005577378511752133,0.0024781588284611823,0.5497271584295732,771.51,424.12,645.37,1841,7.371606759230295
240_high_updated_link_graph_5,Range_5-35,5,35,240,1.3374581130801588,0.594586476140778,0.005572742137833995,0.002477443650586575,0.5565545881470173,772.97,430.2,637.83,1841,7.286227722962697
240_high_updated_link_graph_10,Range_5-35,5,35,240,1.3359130353003386,0.5946202647500989,0.0055663043137514105,0.002477584436458745,0.4968015452926272,797.26,396.08,647.66,1841,7.434682333469391
240_high_updated_link_graph_4,Range_5-35,5,35,240,1.3341353696225398,0.594676349328901,0.005558897373427249,0.002477818122203754,0.5120415948031675,794.33,406.73,639.94,1841,7.55449552933375
240_high_updated_link_graph_9,Range_5-35,5,35,240,1.327933963446465,0.5945479526601893,0.005533058181026938,0.002477283136084122,0.4848766349583829,807.36,391.47,642.17,1841,7.287722643216451
240_high_updated_link_graph_3,Range_5-35,5,35,240,1.3241833934537592,0.5944837255442108,0.0055174308060573305,0.0024770155231008785,0.477550768471082,810.05,386.84,644.11,1841,7.790415032704671
240_high_updated_link_graph_7,Range_5-35,5,35,240,1.3056628269546593,0.5939054321771023,0.005440261778977747,0.002474605967404593,0.5816057590181346,762.63,443.55,634.82,1841,7.528511623541514
240_high_updated_link_graph_1,Range_5-35,5,35,240,1.2991080740697225,0.5945739053656134,0.005412950308623844,0.0024773912723567225,0.5752140556675657,763.82,439.36,637.82,1841,7.436199069023132
240_high_updated_link_graph_2,Range_5-35,5,35,240,1.286719337484784,0.5945387675557717,0.005361330572853267,0.0024772448648157155,0.5473849076950728,778.94,426.38,635.68,1841,7.377261133988698
