Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_folder_updated_link_graph_7,Range_35-65,35,65,224,1.9495803980511313,0.6796834463859454,0.008703483919871122,0.003034301099937256,0.2572388185925884,1241.57,319.38,280.05,1841,7.422237555185954
240_folder_updated_link_graph_4,Range_35-65,35,65,228,1.9587139840106769,0.6794510473393077,0.008590850807064372,0.002980048453242578,0.24641927083333334,1259.52,310.37,271.11,1841,7.392162032922109
240_folder_updated_link_graph_5,Range_35-65,35,65,226,1.9273099206940623,0.6808046257842965,0.008527920003071073,0.0030124098486030816,0.26197579510273006,1243.55,325.78,271.67,1841,7.623628048102061
240_folder_updated_link_graph_9,Range_35-65,35,65,227,1.8737019130976074,0.6788412759876256,0.008254193449769196,0.0029904902025886587,0.3164290357529794,1153.75,365.08,322.17,1841,8.056726435820261
240_folder_updated_link_graph_8,Range_35-65,35,65,226,1.864174754936447,0.6789022330343087,0.00824856086255065,0.003003992181567738,0.3314590453431265,1138.21,377.27,325.52,1841,7.6419885079065955
240_folder_updated_link_graph_10,Range_35-65,35,65,224,1.818601088763811,0.6785533942731087,0.008118754860552729,0.003029256224433521,0.274970593387892,1198.71,329.61,312.68,1841,7.634520451227824
240_folder_updated_link_graph_1,Range_35-65,35,65,232,1.878151593423822,0.6793043297258916,0.008095481006137164,0.002928035903990912,0.28088280035851426,1216.13,341.59,283.28,1841,7.771956904729207
240_folder_updated_link_graph_3,Range_35-65,35,65,230,1.8310625202712563,0.6782471464995425,0.007961141392483722,0.002948900636954533,0.2942747412060941,1179.51,347.1,314.39,1841,7.481140927473704
240_folder_updated_link_graph_2,Range_35-65,35,65,232,1.8200991340849553,0.6793122254057556,0.007845254888297222,0.0029280699370937743,0.3057048844066493,1170.05,357.69,313.26,1841,7.793850485483805
240_folder_updated_link_graph_6,Range_35-65,35,65,234,1.7914412990660875,0.6782764397194273,0.0076557320472909725,0.002898617263758236,0.3022644578571123,1168.05,353.06,319.89,1841,7.4307384093602495
