Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_mixed_updated_link_graph_8,Range_5-35,5,35,239,1.4265031440181934,0.594926007885394,0.005968632401749763,0.002489230158516293,0.645208624882814,736.01,474.88,630.11,1841,7.5286725203196205
240_mixed_updated_link_graph_7,Range_5-35,5,35,237,1.4107910576949738,0.5946484935404407,0.005952704884788919,0.0025090653735883573,0.6377539495887644,752.61,479.98,608.41,1841,7.074289723237356
240_mixed_updated_link_graph_2,Range_5-35,5,35,237,1.4011078624484774,0.5942818102968355,0.0059118475208796515,0.002507518186906479,0.6363282769350447,745.59,474.44,620.97,1841,8.188886523246765
240_mixed_updated_link_graph_9,Range_5-35,5,35,240,1.4149922060284807,0.5956744289331011,0.005895800858452003,0.0024819767872212547,0.7605942209437122,698.73,531.45,610.82,1841,7.110900163650513
240_mixed_updated_link_graph_10,Range_5-35,5,35,237,1.3915676750471848,0.5951132200703669,0.005871593565599936,0.0025110262450226454,0.7082576244653789,715.46,506.73,618.81,1841,7.155160518487294
240_mixed_updated_link_graph_5,Range_5-35,5,35,238,1.389041745380743,0.5946412074924323,0.005836309854540938,0.002498492468455598,0.5751685378775184,775.79,446.21,619.0,1841,8.162197824319204
240_mixed_updated_link_graph_4,Range_5-35,5,35,239,1.3846816731944207,0.5947128623309181,0.005793647168177493,0.0024883383361126283,0.5797178703763896,769.15,445.89,625.96,1841,7.965308705965678
240_mixed_updated_link_graph_1,Range_5-35,5,35,239,1.382536909887988,0.5946251158042475,0.0057846732631296575,0.0024879711958336716,0.6149934251133833,745.26,458.33,637.41,1841,8.211216028531393
240_mixed_updated_link_graph_6,Range_5-35,5,35,239,1.369330110921577,0.5943391163446262,0.005729414690048439,0.002486774545375005,0.6256752761577122,744.14,465.59,631.27,1841,7.06097350915273
240_mixed_updated_link_graph_3,Range_5-35,5,35,239,1.3434528031739321,0.5946348979289918,0.005621141435874193,0.0024880121252259073,0.5592965655999694,785.29,439.21,616.5,1841,7.142701224486033
