Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_low_updated_link_graph_6,Range_5-35,5,35,240,1.4205166059306396,0.5946767405748361,0.005918819191377665,0.0024778197523951506,0.6754783176273814,735.39,496.74,608.87,1841,7.407385842005412
240_low_updated_link_graph_1,Range_5-35,5,35,240,1.3667790677646485,0.5944590485279534,0.0056949127823527025,0.0024769127021998056,0.5231875899168074,799.35,418.21,623.44,1841,6.824694089094797
240_low_updated_link_graph_3,Range_5-35,5,35,240,1.362972573269471,0.5945600948815418,0.005679052388622796,0.002477333728673091,0.6009180967958949,758.09,455.55,627.36,1841,7.253295413653055
240_low_updated_link_graph_10,Range_5-35,5,35,240,1.3555881329307333,0.5945547491587451,0.005648283887211389,0.0024773114548281043,0.5727029209335708,780.23,446.84,613.93,1841,6.919361472129822
240_low_updated_link_graph_4,Range_5-35,5,35,240,1.3488429998800242,0.5944449949379386,0.005620179166166767,0.0024768541455747442,0.49159015791406535,816.9,401.58,622.52,1841,7.638361509641012
240_low_updated_link_graph_8,Range_5-35,5,35,240,1.3394213253173513,0.5942406153635016,0.005580922188822297,0.00247600256401459,0.48474930955190837,821.93,398.43,620.64,1841,7.150435702006022
240_low_updated_link_graph_2,Range_5-35,5,35,239,1.3317859853652956,0.5944562672430604,0.005572326298599563,0.002487264716498161,0.565395372489194,786.6,444.74,609.66,1841,7.316946379343668
240_low_updated_link_graph_5,Range_5-35,5,35,240,1.3067482730836375,0.5946434360735842,0.005444784471181823,0.002477680983639934,0.5705178972514703,770.23,439.43,631.34,1841,7.653499444325765
240_low_updated_link_graph_9,Range_5-35,5,35,240,1.300619949659113,0.5942902289523624,0.005419249790246304,0.00247620928730151,0.5625722431995068,778.62,438.03,624.35,1841,7.416373590628306
240_low_updated_link_graph_7,Range_5-35,5,35,240,1.2997386430842182,0.5938276465393851,0.005415577679517575,0.002474281860580771,0.5403382101463043,789.45,426.57,624.98,1841,7.293512976169586
